cam1,cam2,cam3,cam4,cam5,cam6,cam7,cam8,cam9,cam10,cam11,cam12,cam13,cam14,cam15,cam16,cam17,cam18,cam19,cam20,cam21,cam22,cam23,cam24,cam25,cam26,cam27,cam28,cam29,cam30,cam31,cam32,cam33,bs1,bs2,bs3,bs4,bs5,bs6,bs7,bs8,bs9,bs10,bs11,ca1,ca2,ca3,ca4,ca5,hs1,hs2,hs3,hs4,hs5,hs6,hs7,hs8,hs9,hs10,hs11,rma1,rma2,rma3,rma4,rma5,rma6,rma7,rma8,rma9,rma10,rma11,rma12,rma13,rma14,rma15,rma16,rma17,rma18,rma19,rma20,be1,be2,be3,be4,be5,be6,be7,be8,be9,be10,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,atm1,atm2,atm3,atm4,atm5,atm6,atm7,atm8,atm9,atm10,atm11,atm12,atm13,atm14,atm15,atm16,atm17,atm18,atm19,atm20,mc1,mc2,mc3,mc4,mc5,mc6,mc7,mc8,mc9,mc10,cmni1,cmni2,cmni3,cmni4,cmni5,cmni6,cmni7,cmni8,cmni9,cmni10,cmni11,cmni12,cmni13,cmni14,cmni15,cmni16,cmni17,cmni18,cmni19,cmni20,cmni21,cmni22,grcs1,grcs2,grcs3,grcs4,grcs5,grcs6,grcs7,grcs8,grcs9,grcs10,grcs11,grcs12,grcs13,grcs14,grcs15,grcs16,gender,age,ethnic,race,sexorient,class,relig,relstatus
6,5,4,3,6,4,5,6,5,7,6,4,6,6,4,6,6,4,5,6,4,5,6,4,7,5,4,6,7,4,6,5,4,5,6,5,4,3,6,4,4,5,2,6,6,5,6,6,6,1,4,2,1,7,4,2,1,2,1,1,1,1,6,1,1,2,1,4,3,2,1,5,1,1,1,7,1,2,1,3,4,2,4,5,4,4,4,5,3,6,2,1,2,1,7,7,7,7,1,2,1,1,7,6,7,6,6,6,5,6,4,6,4,4,2,5,2,5,2,5,4,2,1,2,3,2,4,3,4,4,4,5,4,4,5,4,6,4,6,NA,2,1,4,4,4,2,2,5,6,2,2,2,4,5,3,6,4,6,7,5,7,7,4,4,4,2,5,5,6,6,7,6,7,7,1,44,2,4,4,2,1,1
5,6,5,3,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,6,2,6,6,6,6,2,2,2,2,4,2,6,6,6,6,6,2,6,2,2,6,6,2,2,2,2,2,1,2,4,1,2,1,1,1,2,2,1,6,2,2,1,6,1,2,1,1,6,1,6,6,2,2,6,7,6,2,2,2,2,2,6,6,7,6,2,2,2,6,6,6,6,6,2,4,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,4,2,2,3,2,2,5,2,2,5,5,4,4,5,2,6,2,4,2,5,6,4,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,31,2,4,4,2,7,1
7,6,6,6,7,6,5,7,6,7,7,6,7,6,6,6,3,6,7,6,5,6,7,6,7,7,7,6,6,6,7,7,7,1,5,6,5,2,2,1,7,2,4,2,2,3,2,2,6,1,5,2,1,7,5,1,1,3,2,1,1,1,5,1,1,1,1,1,4,1,1,2,2,1,1,6,1,1,1,1,6,6,2,5,6,5,6,5,3,6,1,1,1,1,7,7,7,7,7,1,1,1,7,7,7,7,1,2,1,1,1,1,5,2,1,1,1,1,1,3,3,2,1,1,3,1,3,1,3,2,3,5,5,6,6,5,2,2,6,4,1,2,5,3,2,5,2,5,5,1,4,5,5,3,3,7,2,5,5,6,6,5,2,5,4,3,5,3,3,5,1,6,6,5,1,26,2,4,4,3,6,2
4,7,7,4,3,7,3,4,6,5,4,7,4,4,5,5,5,7,5,4,5,7,4,4,4,6,6,5,3,6,4,3,7,4,4,5,5,3,4,5,7,3,4,4,7,7,7,7,6,4,4,4,4,3,3,3,4,3,4,4,1,2,4,1,3,1,4,1,1,1,3,2,4,3,4,6,1,1,1,1,3,4,4,6,4,4,3,7,4,1,1,1,1,1,7,1,7,7,1,1,1,1,7,7,7,7,4,1,1,3,1,4,2,1,1,7,4,7,1,7,2,1,4,4,6,4,1,1,1,1,1,7,1,7,7,7,6,4,2,1,3,5,7,1,1,1,4,1,2,1,2,5,4,4,6,3,1,1,2,2,6,3,6,5,2,5,2,1,2,3,2,1,1,2,1,29,1,4,4,2,1,4
3,3,3,5,4,4,3,3,5,4,2,5,4,3,5,3,5,5,3,5,5,4,3,5,5,5,5,5,5,3,5,3,5,5,5,5,3,4,3,5,4,5,4,3,3,5,6,4,5,3,5,3,4,5,3,4,5,4,5,3,2,4,3,3,6,3,5,3,2,5,4,5,4,5,6,6,3,4,4,3,4,4,3,3,5,5,5,5,5,3,3,3,4,5,5,5,4,4,5,4,5,3,3,3,3,5,4,5,3,3,3,5,5,5,4,5,5,3,5,3,5,5,3,5,3,5,4,5,3,3,3,4,5,4,5,3,3,3,5,5,4,3,4,3,5,5,4,5,5,5,4,5,3,3,4,5,3,4,5,5,5,4,3,5,3,3,3,5,5,5,3,5,4,3,1,23,1,3,4,1,1,1
6,5,2,3,2,2,2,3,3,6,5,3,4,4,2,4,4,4,5,4,4,5,4,3,5,6,7,4,7,7,4,4,4,4,6,6,5,5,1,1,2,4,4,4,1,2,6,6,1,5,3,5,3,6,3,4,3,4,4,4,4,4,6,2,4,2,1,4,4,3,2,5,4,4,3,6,1,3,2,2,2,4,1,4,4,5,4,5,4,4,6,4,7,7,4,1,4,2,4,4,4,7,4,4,2,2,2,4,2,2,2,2,2,2,3,4,2,1,2,7,7,7,3,3,4,3,3,2,2,3,4,5,5,5,5,5,1,4,4,5,4,2,1,4,1,2,7,1,7,7,6,1,3,6,4,5,2,5,4,4,6,5,2,5,4,7,4,6,7,6,2,2,1,1,1,20,2,4,4,1,6,1
1,1,1,2,1,1,2,3,1,2,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,7,7,7,7,7,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,3,1,1,1,1,2,3,2,1,2,1,1,1,2,1,1,1,1,2,1,1,23,2,4,3,3,1,1
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,4,5,6,6,6,6,6,6,6,6,3,6,3,3,5,6,3,5,6,5,5,1,3,4,3,1,1,1,1,2,2,1,6,3,1,1,6,1,5,1,1,6,3,5,5,4,4,5,5,5,5,1,1,1,1,7,7,7,7,1,1,1,1,7,6,6,6,3,3,2,5,3,6,5,1,1,5,4,5,4,6,6,5,7,2,6,1,1,1,1,1,1,2,2,2,2,2,2,2,6,1,5,6,1,2,7,6,3,4,1,5,7,1,6,2,2,6,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,41,2,4,4,2,6,2
3,6,5,1,6,6,1,5,4,5,5,6,6,6,6,6,6,6,3,5,6,6,5,6,6,3,6,3,3,6,6,5,6,3,7,7,3,1,1,1,7,4,3,1,6,6,6,6,6,6,2,5,6,1,2,7,6,7,6,7,1,1,3,1,2,2,1,2,1,2,1,2,5,1,2,6,1,1,1,2,2,2,2,6,2,6,6,6,6,2,2,2,3,2,6,6,2,6,2,7,3,3,5,5,5,6,3,6,1,1,1,1,3,5,1,1,1,5,1,6,6,6,2,2,2,2,2,2,2,2,2,4,4,5,5,5,1,2,5,2,1,2,5,3,1,2,4,3,6,6,3,6,5,5,5,7,3,5,6,6,6,6,2,5,2,2,3,2,2,2,3,2,2,2,1,30,2,4,4,3,6,4
5,5,3,2,6,1,1,1,2,6,5,5,6,3,5,3,5,2,6,5,2,5,5,2,6,3,3,6,5,3,7,2,2,1,7,7,5,4,4,3,5,6,5,1,2,6,3,2,6,7,2,6,3,2,1,6,5,6,5,5,3,5,6,4,3,4,1,5,5,4,2,6,5,2,5,5,1,6,3,1,5,2,2,6,2,3,6,7,5,2,2,6,6,5,2,3,7,3,4,7,7,5,5,2,5,4,6,5,2,2,1,2,5,2,1,3,2,1,1,6,5,6,3,3,4,3,3,2,3,1,3,5,6,5,7,5,2,3,5,2,3,3,5,2,1,3,4,2,6,2,2,3,7,6,5,7,5,6,1,2,3,4,5,5,3,2,5,3,6,3,3,3,2,2,1,25,2,4,4,3,6,2
