    reading     vocab         inference   comprehension
    7.627027    35.746115     7.146206    14.817365
    5.620002    26.381146     3.752820    14.269514
    6.783452    35.633296     6.522359    21.272018
    7.504749    43.675294     5.984211    19.963362
    3.236808    28.028406     0.002163    12.088389
    6.668932    39.301961     5.872175    18.308381
    6.999869    34.728663     5.652480    18.553127
    6.684389    27.519480     6.522698    17.074005
    1.393649    34.194234     2.223381    12.351188
    6.985370    53.982575     6.007183    21.100031
    7.222333    36.715921     4.283663    18.030665
   11.218141    41.068806     8.334312    13.296169
    4.981711    40.050392     5.454976    20.038595
    4.136758    29.215163     0.962842    15.627729
    5.342002    32.910968     1.113403    16.949693
    5.733867    50.210627     6.239910    21.452686
    3.572289    24.895216     3.758088    11.618980
    3.047728    23.270233     4.140445    14.404641
    5.516465    27.126166     8.725997    14.701025
    4.239081    32.241774     2.547886    17.062493
    3.789286    33.887964     1.784888    15.237721
    7.141490    31.795186     4.448229    16.952723
    7.820595    42.120193     8.185047    17.370876
    4.352768    19.820329     4.146369     7.996458
    6.851807    36.536281     5.007660    12.605154
    6.797181    46.328322     7.524629    16.802956
    5.574255    43.299478     4.770311    12.539845
    5.088626    35.816945     0.431138    16.480861
    8.396963    43.170566     6.564997    22.418910
    5.079866    37.973326     4.169612    17.160313
    6.727033    39.799680     6.271570    23.299117
    2.628115    33.335616     4.622589    16.402516
    9.756205    33.254239     7.398322    19.403881
    6.610125    43.103341     5.691387    20.243443
    4.721318    22.108546     5.251718     9.341436
    4.834005    37.787977     7.531489    18.726144
    7.888851    49.966885     7.959501    27.390318
    5.527799    32.449567     4.545269    14.510632
    3.864294    43.158598     1.900973    14.815487
    5.554953    35.757027     3.970750    18.291882
    8.097202    32.316216     2.578214     9.260624
    8.040668    21.920544     7.871191    14.574679
    6.917244    39.700343     6.263228    19.080124
    4.913909    21.045858     3.580900     7.898604
    3.226660    22.573366     3.948690    13.400373
    5.401911    32.989369     3.961494    19.514578
    3.299123    31.690785     5.230576    12.859029
    8.229956    24.273854     7.819795    16.435260
   -0.090457    28.406785     0.115640    17.722709
    0.735497    25.069615     0.524077    11.692294
    2.315888    36.019563     3.335435    23.156168
    0.343130    18.860985     0.090846     9.958918
    7.358248    46.289194     4.187648    21.087178
    2.645353    21.241949     2.668229    13.029351
    4.406338    27.486032     2.984757    13.436837
    6.322323    38.462635     9.843160    20.035616
    4.652261    40.216034     2.236760    17.141059
    7.352662    33.740268     3.219226    19.313297
    1.401936    18.872954     2.815030     7.858370
    4.449214     7.960000     2.210038     7.135679
    3.975265    31.282266     3.044275    10.658047
    3.312587    35.270574     5.653279    19.180566
    5.209837    31.194235     3.086736    14.581820
    3.437865    11.528115     3.365220     6.149763
    4.523362    31.508737     3.414445    19.546757
    3.757784    35.623214     3.841524    18.855301
    7.360371    38.321722     7.781647    19.608849
    2.898381    23.325025     4.252717    11.648532
    3.709926    32.372152     4.346074    13.003095
    4.948624    27.434380     5.562061    10.768667
    4.706347    38.934433     4.590919    16.135200
    8.774290    35.697386     6.219198    21.579899
    6.195622    37.245302     4.683832    14.961867
    2.810384    27.331254     2.382519    14.405652
    4.645424    30.922276     6.001681    13.361058
    5.081306    38.382801     1.183522    19.602378
    9.414848    43.085129     6.265042    15.290710
    5.090776    36.546412     3.325440    19.361585
    2.976586    22.740161     0.404132    12.139183
    6.640999    45.514467     7.209831    21.047425
    2.717575    19.047592     2.998488    17.972070
    8.164027    43.205513     6.567111    21.452149
    3.606639    31.256092     2.044666    15.500819
    1.940515    27.463379     4.048535    17.456142
    4.916667    26.509158     5.445334    12.980556
   10.888152    39.724195     5.820233    19.033441
    6.521860    39.859137     5.946078    16.665337
    8.787769    50.255252     8.344776    22.248063
    1.840746    22.522240     1.452373    11.338779
    7.782760    46.755438     7.584913    19.894104
    7.293003    44.484381     6.557880    22.338689
    6.852682    35.922126     5.303111    21.652683
    4.889937    31.128387     3.061864    11.328571
    3.963054    13.655664     4.483466    10.743792
    4.041057    27.962749     3.279568    13.113469
    6.638753    37.620677     2.770877    17.653448
    9.138742    43.622827     6.197330    23.857475
    8.312822    37.415323     7.455713    19.537609
    5.856906    27.688517     5.988308    16.911279
    5.791093    21.256699     0.974376    13.723631
    6.767148    27.945584     4.478838    16.784301
    9.993925    58.446429     9.693054    29.536230
    6.412809    27.535374     3.223503     6.975666
    4.547773    27.264394     4.408912    18.906036
    7.283702    45.923983     8.960422    20.562134
    5.268926    19.645104     2.746090    10.900976
    3.374687    16.863925     1.824460    10.681620
    4.659621    25.581534     2.938498    14.654995
   12.211365    51.421974    12.497073    23.214989
    6.125476    40.496235     3.820256    18.267742
    8.629345    28.455243     3.666431     9.962179
