country,collact,arab,id,eff,sdo,anger
1,10,10,10,8,3.25,1
1,10,10,10,4,1,5
1,10,10,4,9,3.25,10
1,10,10,10,8,1,8.5
1,10,10,-99,7,3.25,10
1,10,10,10,8,3,3
1,9,9,8,3,3.25,8
1,9,10,3,4,3.25,7.5
1,8,10,8,6,1,6.5
1,8,8,9,8,3,4.5
1,8,10,8,10,1,8.5
1,7,10,5,2,1,7.5
1,7,7,3,3,3,4.5
1,7,2,1,4,3.25,0
1,6,5,7,1,3.25,8
1,6,9,7,2,3.25,0
1,6,9,6,6,1,7
1,6,10,7,5,1.5,8
1,6,10,9,9,3.25,6
1,5,5,5,10,3.25,-99
1,5,8,5,7,2.75,4
1,5,10,9,10,1.5,-99
1,5,7,2,3,3.75,4
1,5,4,10,10,3.25,5
1,5,10,5,10,3.25,0
1,4,10,0,4,5.75,7
1,4,7,8,7,4.25,3.5
1,3,9,3,7,1,-99
1,3,8,8,1,1.5,3
1,3,9,1,-99,3.25,2.5
1,3,8,7,3,4.25,7
1,2,1,7,10,3.75,-99
1,2,1,6,10,3.25,-99
1,2,10,2,4,1,6
1,2,6,6,2,1,3.5
1,2,8,3,9,4.25,3
1,1,10,6,5,3.25,-99
1,1,10,2,1,4.5,7.5
1,1,1,1,1,5.25,1
1,1,7,7,7,5.5,-99
1,1,0,1,2,1,6
1,1,9,1,3,4.25,0
1,1,7,1,3,1.75,0.5
1,1,10,3,4,6.5,0
1,1,10,1,6,1,1
1,1,10,1,2,3.25,3
1,1,6,1,3,3.25,0
1,1,1,1,9,4,2.5
1,1,8,1,1,3.75,0
1,1,7,5,8,4.25,4
1,1,2,1,9,4.5,2
1,1,3,1,5,2.75,0.5
1,1,10,1,4,4.25,0
1,1,8,6,9,3.75,1
1,1,7,2,8,2.75,3.5
1,1,10,8,1,4,4
1,1,10,6,5,5.5,0
1,1,9,2,1,4,4.5
1,1,10,1,8,3.25,-99
1,1,1,1,6,7,0
1,1,2,1,3,1,-99
1,1,7,2,3,4.5,3
1,1,8,6,9,4.5,3
1,1,2,5,6,1,3.5
1,1,8,1,5,2.5,1
1,1,10,1,3,3.5,9
1,1,0,1,10,4.5,3.5
1,1,6,1,6,3.75,2.5
1,1,4,0,3,3.25,5
1,1,0,1,10,4.5,0
1,1,10,1,5,1,5
1,1,6,1,2,2.25,8
1,1,0,1,1,1.75,2
1,1,3,1,5,2,0
1,1,9,9,9,1,5
1,1,5,5,7,6.25,0
1,1,8,2,3,4.75,7
1,1,10,1,6,1,4
1,1,7,1,-99,1.25,1.5
1,1,1,1,1,3.25,0
1,1,9,0,10,1,-99
1,0,10,0,7,3.75,-99
1,0,10,3,4,6.25,2
1,0,10,5,3,3.25,0
1,0,0,0,6,3,-99
1,0,2,0,8,2,4
1,0,0,0,4,3.25,0
1,0,8,9,7,4.5,-99
1,0,1,8,2,1,1
1,0,9,0,3,5.75,9.5
1,0,9,2,1,3.25,-99
1,0,0,0,8,3.25,0
1,0,8,8,7,3.75,2
1,0,3,0,3,4.25,0
1,0,10,5,6,1.25,1
1,0,9,0,3,1.75,5
1,0,10,0,8,5.5,-99
1,0,10,8,6,1,2
1,0,9,4,6,1,6.5
1,0,10,1,2,2,9
1,-99,-99,-99,2,1.25,-99
1,-99,-99,-99,6,7.25,-99
1,-99,-99,-99,4,6,-99
1,-99,-99,-99,10,3.25,-99
1,-99,-99,-99,7,-99,-99
1,-99,-99,-99,6,-99,-99
1,-99,-99,-99,8,-99,-99
1,-99,-99,-99,2,-99,-99
1,-99,-99,-99,8,-99,-99
1,-99,-99,-99,9,-99,-99
1,-99,-99,-99,6,-99,-99
1,-99,-99,-99,7,3.25,-99
1,-99,-99,-99,6,-99,-99
1,-99,-99,-99,8,5.5,-99
1,-99,-99,-99,6,3.5,-99
1,-99,-99,-99,5,1,-99
1,-99,-99,-99,7,-99,-99
1,-99,-99,-99,4,1.5,-99
1,-99,-99,-99,7,4.5,-99
1,-99,10,-99,6,3.5,-99
1,-99,-99,-99,4,-99,-99
1,-99,-99,-99,-99,3.75,-99
1,-99,-99,-99,-99,1.75,-99
1,-99,-99,-99,5,1,4
2,10,8,10,7,3.25,10
2,10,10,10,1,2,-99
2,10,10,10,1,3.25,1
2,10,5,10,6,2,10
2,10,10,10,1,1,10
2,10,6,8,1,2.25,5
2,10,6,9,2,6,3.5
2,10,5,10,1,4.75,10
2,10,4,10,4,6,7
2,10,10,10,1,1,10
2,10,7,10,6,3.5,0
2,10,10,10,8,4,2.5
2,10,10,10,1,4.5,10
2,10,8,10,9,1,-99
2,10,10,10,7,3.25,9
2,10,10,10,5,1,10
2,10,10,10,1,1.25,5
2,10,10,10,8,4.75,10
2,10,10,9,10,1.5,5.5
2,10,10,10,5,2.25,5
2,10,3,10,1,3,9.5
2,10,5,10,8,1,8
2,10,10,1,3,1,8.5
2,9,7,2,2,5,-99
2,9,10,9,9,1.75,-99
2,9,5,6,9,5,0
2,9,8,8,7,4,-99
2,9,7,8,7,4,-99
2,9,7,8,5,4,-99
2,9,9,9,8,4.25,-99
2,9,7,9,8,3.5,7
2,8,10,10,1,1,10
2,8,10,10,2,1,8.5
2,8,0,10,3,4,4.5
2,8,8,10,1,4.75,5
2,8,10,10,8,1,5
2,8,10,9,8,2,-99
2,8,9,10,7,1.25,0
2,8,9,8,7,4,-99
2,8,8,8,8,3,7
2,8,7,8,10,3.25,5.5
2,8,3,9,7,1,3.5
2,7,9,8,3,3.25,6.5
2,7,7,6,1,3.5,0
2,7,7,4,1,3.25,3
2,7,7,8,9,2.5,7
2,7,10,7,3,1,5
2,7,3,8,4,4.25,8
2,7,6,10,3,4.75,10
2,7,7,7,9,3.25,6
2,7,8,7,8,3.75,8
2,7,8,8,9,4,5.5
2,7,4,5,1,2,5.5
2,6,7,8,6,3.75,6
2,6,8,7,1,6.25,6
2,6,7,2,8,5.5,2
2,6,10,10,7,1,6.5
2,5,2,5,1,3,0.5
2,5,10,1,1,4,-99
2,5,1,10,1,1.5,-99
2,5,9,6,6,4,-99
2,5,8,8,7,4.75,6
2,5,7,7,8,5.5,-99
2,5,8,7,10,5,2.5
2,5,4,7,8,2.25,7
2,5,1,10,9,1,1
2,5,9,9,7,1,-99
2,5,10,8,19,2.25,-99
2,4,5,7,10,3,0.5
2,4,5,10,1,3.75,2
2,3,3,5,6,1,1
2,3,10,10,8,1,7.5
2,3,3,9,2,3.75,4
2,3,6,4,6,2.75,4.5
2,3,3,3,2,5.5,-99
2,2,5,5,4,2.5,-99
2,2,5,8,7,2.25,5
2,2,4,6,1,3,0.5
2,2,10,9,4,3,3
2,2,5,3,4,5,1
2,2,5,9,10,2.75,1
2,2,7,9,5,4.5,8
2,1,7,5,3,2,3
2,1,7,5,1,1.75,0
2,1,5,5,1,5.5,2.5
2,1,10,7,8,3.75,4
2,1,1,5,1,1.5,0
2,1,10,10,1,1,0
2,1,1,8,7,3.5,0
2,1,8,5,6,1.5,2
2,1,4,9,7,1,5.5
2,1,6,5,1,5.25,5
2,1,2,5,1,1,6.5
2,1,1,1,10,3.75,2.5
2,1,10,1,1,3.25,5
2,1,10,5,1,1,5
2,1,1,10,8,1,10
2,1,8,10,10,1,10
2,1,9,2,3,5,5
2,1,6,3,7,2,1
2,1,2,3,10,-99,-99
2,1,1,1,3,5.25,1.5
2,1,1,10,1,2,-99
2,1,5,8,1,5.25,-99
2,1,4,8,10,2.25,0.5
2,1,10,6,10,2,10
2,1,5,5,1,1,0
2,1,1,10,1,1,6.5
2,1,9,8,1,3,9
2,1,8,8,2,2.5,8
2,1,1,1,9,5.75,-99
2,1,9,9,8,4,-99
2,1,10,5,6,6,2
2,1,3,4,7,3.25,3.5
2,1,2,2,1,3.25,4
2,1,2,10,5,3,7.5
2,0,5,5,5,1.75,4.5
2,0,6,5,7,4.75,-99
2,0,10,8,2,1,7
2,0,3,5,3,2.5,6
2,0,6,5,6,2.5,3.5
2,-99,10,-99,4,1,5.5
2,-99,10,-99,6,1,5.5
2,-99,3,-99,9,2.666666667,-99
2,-99,6,-99,2,4.25,3.5
2,-99,1,-99,10,4,6
